Local Authority,Calendar Year,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
Bradford,2011,81.92961171182257,366.4198,352.81949198470164,1038.4938968746997,7.964633846734642,552.1078096647996,-4.344705164021767,5.578887130351334,523.115,149.230935184291,601.6998422677783,146.46265866966664
Bradford,2012,82.76748919657018,366.4198,369.6156682604934,1107.4517088207092,8.254768919650079,583.5196459052653,-4.499777399000617,5.745568106349983,526.4424197219937,162.32458864093704,594.2349682144261,129.29648494499781
Bradford,2013,82.0702664939706,366.4198,354.86812891965775,1073.4045712972109,7.97177197635401,583.8767863928407,-5.750056411344833,5.5125476123045845,529.8847826186986,159.47870006947662,588.8632485688904,84.20344789053811
Bradford,2014,82.18422783511869,366.4198,288.6019787368715,910.3961677840339,7.081143369533105,508.338241967133,-5.780515731768687,4.8629943236670705,533.554218767639,131.05240224664834,603.2875197065515,76.59111469105866
Bradford,2015,82.16422860847177,366.4198,258.2869356176407,891.3699028927921,6.933021243411863,496.8381857154241,-6.599645862208878,4.7195434055400955,538.2716163653988,126.12381832873588,616.1431570378239,76.0696750680462
Bradford,2016,79.25678278956526,366.4198,254.86284250064395,842.6003532151994,6.588908156823928,441.2665112927076,-6.194097880378417,4.417625993603563,546.5167066061165,106.02428506389336,622.4552970157307,74.03443504443175
Bradford,2017,80.45326712391187,366.4198,186.50734413412198,804.869384303826,6.3878661250025415,459.89095405604985,-7.035442195977975,4.251327743539823,550.5669685210617,112.12980473076807,627.2275577167028,76.59775808080568
Bradford,2018,79.24030536499917,366.4198,119.58303518828771,787.9600301011968,6.268165229183644,508.964891442354,-6.819087465129607,4.14712600367487,553.8244672597824,117.25615909845942,619.8845400100811,70.70997590417655
Bradford,2019,78.44246427364627,366.4198,112.93129652709462,778.3865571595413,5.992757255099323,438.0789715129968,-7.400131623719142,3.943083822518285,556.8902447170485,123.36505406652121,611.702781959274,60.35792098668773
Bradford,2020,77.49318238817045,366.4198,99.13520470764387,746.5044895761621,5.43073608710104,369.7589521717744,-7.428022892750629,3.568758540334928,557.5970490571747,121.24523380283628,514.3368817448215,68.88330938968764
Bradford,2021,79.61193349192882,366.4198,120.9441083448341,779.0454099228331,5.8755976096472535,448.69640144724593,-8.00312501424479,3.9360690432622722,546.976,154.51386703323914,503.1826585711707,74.9440472104186
Calderdale,2005,64.16274223779277,363.9608,167.1960834223879,550.8580965007388,4.6207287547468665,330.53660802259174,3.6882687992586423,8.568625537069718,196.27,71.9123327631654,436.3614293482647,57.04857306647314
Calderdale,2006,61.825662604432594,363.9608,174.35356413172744,548.0899202830708,4.633495642746042,330.4477907416326,2.7281503952546413,8.527519485289636,197.761,71.1645614520142,425.5415209127154,72.25961040951547
