,Local Authority,Agriculture Total,Area (km2),Commercial Total,Domestic Total,Emissions per km2 (kt CO2e),Industry Total,LULUCF Net Emissions,Per Capita Emissions (tCO2e),"Population ('000s, mid-year estimate)",Public Sector Total,Transport Total,Waste Management Total
28,Sutton,21.11613933045204,745.4006999999998,2076.3729646079055,6164.888999656339,308.11925056584784,917.9227634036803,39.76333858082451,69.66953492947114,3330.5542791034122,645.3254825728161,2818.321650141465,826.4242531923009
29,Tower Hamlets,10.849797381765356,366.77499999999986,16024.233845936773,5394.430302560807,1481.0980708244404,2520.1206548608507,24.822020601463983,126.3198692038682,4481.837739438029,2327.793740569979,4842.398334196682,810.0421819289782
30,Waltham Forest,13.609520142897168,659.7326,1812.7435610001537,6920.649217549334,396.3214831310346,1271.1814304246595,8.401322774143177,60.070203244003444,4417.639404016124,772.7316655401439,3627.647789287864,953.4003463333676
31,Wandsworth,10.282673457866851,598.7451,3573.804862672023,9093.995769620247,576.0014382870688,784.9609402271664,17.90610415525503,66.35539396052371,5260.248242596394,1906.1020043809428,4176.048056558851,723.8430458297041
32,Westminster,137.6331680141082,374.5117,25994.77205320371,7058.440853478484,2166.0448173238224,3383.5101170155017,23.72302844109501,223.22125289360406,3602.7244992129945,5409.663430637238,5391.9316632826185,318.5096160527847
33,Amber Valley,1723.191316864305,4512.444299999999,1072.988362506734,4457.580206372257,61.16202354790562,3732.293935100868,-307.0486327173618,131.97270146126564,2098.4911645106176,408.5129318350496,4042.588417442439,1104.6125529023268
34,Ashfield,269.3034681268861,1862.4876999999997,955.6611148975735,3991.1256076083164,123.4370346413802,3240.1666987207486,-119.10049210721209,112.10240832590243,2065.370963226969,879.1732803293518,3597.898597835514,709.2987095326175
35,Bassetlaw,2262.8388117281565,10871.374199999997,1247.080002418128,3962.3772725285257,29.990655981650953,3169.61295062933,926.7817456612684,168.5107864298157,1941.1811737696921,587.257079770995,6374.026381250186,648.8283254249319
36,Blaby,809.8522036212574,2217.9662,1322.3974329019047,3258.0857417516927,98.97207457945618,1141.0389955587007,15.940701427120384,134.3466097971409,1642.4953338513506,245.36531216192247,5571.294893989868,548.7727280647705
37,Bolsover,536.66530915518,2725.689899999999,832.5933296504951,2641.981786913789,114.04180353001648,8055.220267825578,-113.79457864610015,237.82568911336966,1311.0427711903449,176.9708054598481,5610.460699967397,544.7607361179432
